  1.146  0.34874878E+01  0.33268968E+01  0.20394973E+02
  1.156  0.34881536E+01  0.33268968E+01  0.20564843E+02
  1.167  0.34887883E+01  0.33268968E+01  0.20734467E+02
  1.177  0.34893868E+01  0.33268968E+01  0.20903845E+02
  1.188  0.34899519E+01  0.33268968E+01  0.21072976E+02
  1.198  0.34904857E+01  0.33268968E+01  0.21241862E+02
  1.208  0.34909892E+01  0.33268968E+01  0.21410503E+02
  1.219  0.34914536E+01  0.33268968E+01  0.21578900E+02
  1.229  0.34918807E+01  0.33268968E+01  0.21747051E+02
  1.240  0.34922714E+01  0.33268968E+01  0.21914960E+02
  1.250  0.34926261E+01  0.33268968E+01  0.22082624E+02
  1.260  0.34929355E+01  0.33268968E+01  0.22250046E+02
  1.271  0.34932002E+01  0.33268968E+01  0.22417224E+02
  1.281  0.34934201E+01  0.33268968E+01  0.22584161E+02
  1.292  0.34935940E+01  0.33268968E+01  0.22750856E+02
  1.302  0.34937178E+01  0.33268968E+01  0.22917309E+02
  1.312  0.34937910E+01  0.33268968E+01  0.23083521E+02
  1.323  0.34938121E+01  0.33268968E+01  0.23249493E+02
  1.333  0.34937790E+01  0.33268968E+01  0.23415224E+02
  1.344  0.34936978E+01  0.33268968E+01  0.23580716E+02
  1.354  0.34935686E+01  0.33268968E+01  0.23745969E+02
  1.365  0.34933910E+01  0.33268968E+01  0.23910982E+02
  1.375  0.34931643E+01  0.33268968E+01  0.24075757E+02
  1.385  0.34928329E+01  0.33268968E+01  0.24240294E+02
  1.396  0.34924164E+01  0.33268968E+01  0.24404594E+02
  1.406  0.34919391E+01  0.33268968E+01  0.24568656E+02
  1.417  0.34914281E+01  0.33268968E+01  0.24732482E+02
  1.427  0.34909558E+01  0.33268968E+01  0.24896072E+02
  1.438  0.34906893E+01  0.33268968E+01  0.25059425E+02
  1.448  0.34907701E+01  0.33268968E+01  0.25222542E+02
  1.458  0.34913257E+01  0.33268968E+01  0.25385424E+02
  1.469  0.34927765E+01  0.33432285E+01  0.25548069E+02
  1.479  0.34953806E+01  0.33758918E+01  0.25710500E+02
