  0.667  0.17983362E-02  0.96190562E-02  0.48020297E+00  0.53899034E+00  0.22281815E+02  0.11608180E+02
  0.677  0.17602536E-02  0.96102450E-02  0.53405050E+00  0.53385303E+00  0.24659611E+02  0.13115186E+02
  0.688  0.17301424E-02  0.96006561E-02  0.59138339E+00  0.52885533E+00  0.27285638E+02  0.14780937E+02
  0.698  0.17081581E-02  0.95902381E-02  0.65226684E+00  0.52402255E+00  0.30073542E+02  0.16603749E+02
  0.708  0.16946216E-02  0.95787966E-02  0.71631649E+00  0.51938324E+00  0.32956432E+02  0.18564054E+02
  0.719  0.17042922E-02  0.95663585E-02  0.78444621E+00  0.51497074E+00  0.36254194E+02  0.20759984E+02
  0.729  0.17370423E-02  0.95526956E-02  0.85617743E+00  0.51082202E+00  0.39663888E+02  0.23117623E+02
  0.740  0.17940889E-02  0.95378480E-02  0.93081583E+00  0.50697744E+00  0.43142025E+02  0.25615420E+02
  0.750  0.18779593E-02  0.95218033E-02  0.10076830E+01  0.50348052E+00  0.46667098E+02  0.28227330E+02
  0.760  0.19242565E-02  0.90367934E-02  0.10651737E+01  0.50828474E+00  0.53534807E+02  0.29945061E+02
  0.771  0.20330669E-02  0.90171746E-02  0.11638356E+01  0.50579747E+00  0.55686806E+02  0.33189939E+02
  0.781  0.21585136E-02  0.89970924E-02  0.12517752E+01  0.50388468E+00  0.57587647E+02  0.36173405E+02
  0.792  0.23009349E-02  0.89764654E-02  0.13297678E+01  0.50255817E+00  0.59411807E+02  0.38792601E+02
  0.802  0.24582952E-02  0.89554614E-02  0.13946482E+01  0.50181670E+00  0.60146107E+02  0.41033277E+02
  0.812  0.26283061E-02  0.89343184E-02  0.14454105E+01  0.50164474E+00  0.60165894E+02  0.42617774E+02
  0.823  0.28086849E-02  0.89133015E-02  0.14836963E+01  0.50201899E+00  0.59809819E+02  0.43631655E+02
  0.833  0.29971912E-02  0.88924722E-02  0.15118543E+01  0.50291233E+00  0.59260812E+02  0.44194399E+02
  0.844  0.31908239E-02  0.88720397E-02  0.15295602E+01  0.50428449E+00  0.58141656E+02  0.44462890E+02
  0.854  0.33866623E-02  0.88522633E-02  0.15371190E+01  0.50608475E+00  0.56560525E+02  0.44236977E+02
  0.865  0.35821351E-02  0.88331930E-02  0.15359310E+01  0.50825848E+00  0.54716230E+02  0.43603796E+02
  0.875  0.37752767E-02  0.88146513E-02  0.15275223E+01  0.51075061E+00  0.52706304E+02  0.42650969E+02
  0.885  0.39637787E-02  0.87968158E-02  0.15123395E+01  0.51350233E+00  0.50514973E+02  0.41582095E+02
  0.896  0.41457593E-02  0.87799898E-02  0.14906579E+01  0.51645107E+00  0.48037779E+02  0.40211071E+02
  0.906  0.43198523E-02  0.87640236E-02  0.14631233E+01  0.51953392E+00  0.45359874E+02  0.38586154E+02
  0.917  0.44849974E-02  0.87489773E-02  0.14303921E+01  0.52268926E+00  0.42523849E+02  0.36750710E+02
  0.927  0.46402553E-02  0.87350581E-02  0.13929892E+01  0.52585714E+00  0.39696379E+02  0.34909151E+02
  0.938  0.47850648E-02  0.87220538E-02  0.13509256E+01  0.52897719E+00  0.36665856E+02  0.32885572E+02
  0.948  0.49191511E-02  0.87101451E-02  0.13042027E+01  0.53198894E+00  0.33442096E+02  0.30694590E+02
  0.958  0.50424625E-02  0.86993787E-02  0.12526485E+01  0.53483111E+00  0.30008736E+02  0.28344024E+02
  0.969  0.51554604E-02  0.86898035E-02  0.11983432E+01  0.53745703E+00  0.26962368E+02  0.26088994E+02
  0.979  0.52585217E-02  0.86813368E-02  0.11409739E+01  0.53981970E+00  0.23799958E+02  0.23783034E+02
  0.990  0.53520998E-02  0.86739789E-02  0.10796643E+01  0.54186776E+00  0.20426691E+02  0.21402022E+02
  1.000  0.54370183E-02  0.86678524E-02  0.10127755E+01  0.54353964E+00  0.16701655E+02  0.18905677E+02
  1.010  0.55595783E-02  0.87455869E-02  0.95119669E+00  0.55645729E+00  0.13782506E+02  0.14989861E+02
  1.021  0.56398144E-02  0.87417920E-02  0.88728012E+00  0.55731012E+00  0.11058912E+02  0.12872126E+02
  1.031  0.57210013E-02  0.87393097E-02  0.82051920E+00  0.55772625E+00  0.77995630E+01  0.10421891E+02
  1.042  0.58072596E-02  0.87381363E-02  0.75037363E+00  0.55767166E+00  0.42104634E+01  0.76869748E+01
  1.052  0.58976767E-02  0.87376716E-02  0.68860974E+00  0.55720100E+00  0.25768406E+01  0.52346138E+01
